Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Disease
Skin Redness,Chills,Headache,Swollen Lymph Nodes,Difficulty Swallowing,Runny Nose,Sore Throat,Flu
Skin Redness,Sweating,Weakness,Skin Peeling,Muscle Pain,Chest Pain,Loss of Taste,Unknown
Rapid Heart Rate,Chills,Loss of Appetite,Low Blood Pressure,Nausea,Blurred Vision,Headache,Food Poisoning
Skin Peeling,Nausea,High Blood Pressure,Chest Pain,Diarrhea,Sore Throat,Confusion,Pneumonia
Sweating,Sore Throat,Runny Nose,Low Blood Pressure,Nausea,Loss of Taste,Shortness of Breath,Hypotension
Low Blood Pressure,Runny Nose,Loss of Smell,Shortness of Breath,Loss of Taste,Loss of Appetite,Rapid Heart Rate,Unknown
Confusion,Ear Pain,Chest Pain,Cough,Headache,Difficulty Swallowing,Abdominal Pain,Typhoid
Loss of Taste,Loss of Appetite,Sweating,Fever,Headache,High Blood Pressure,Confusion,Typhoid
Joint Pain,Dizziness,High Blood Pressure,Ear Pain,Skin Redness,Sweating,Diarrhea,Unknown
Dizziness,Sore Throat,Shortness of Breath,Low Blood Pressure,Runny Nose,Rapid Heart Rate,Nausea,Hypertension
Swollen Lymph Nodes,Low Blood Pressure,Confusion,Loss of Appetite,Rash,Chest Pain,Joint Pain,Unknown
Sweating,Ear Pain,Rash,Loss of Smell,Blurred Vision,Fatigue,Fever,Meningitis
Muscle Pain,Nausea,Chest Pain,Shortness of Breath,Runny Nose,Confusion,Weakness,Unknown
Weakness,Runny Nose,Headache,Sweating,Skin Peeling,Abdominal Pain,Joint Pain,Malaria
Ear Pain,Chills,Weakness,Runny Nose,Skin Redness,Abdominal Pain,Blurred Vision,Unknown
Difficulty Swallowing,Sore Throat,Chest Pain,Muscle Pain,Skin Redness,Loss of Appetite,Shortness of Breath,Unknown
Skin Redness,Sweating,High Blood Pressure,Fever,Loss of Smell,Rash,Nausea,Ear Infection
Skin Redness,Dizziness,Difficulty Swallowing,Chest Pain,Nausea,Loss of Appetite,Runny Nose,Cold
Fever,Dizziness,Chills,Abdominal Pain,Loss of Smell,Rash,Skin Redness,Typhoid
Shortness of Breath,Fever,Ear Pain,Loss of Smell,Chills,Muscle Pain,Vomiting,Typhoid
Fever,Loss of Smell,Cough,High Blood Pressure,Runny Nose,Loss of Taste,Confusion,Ear Infection
Abdominal Pain,Skin Redness,Rapid Heart Rate,Confusion,Blurred Vision,Ear Pain,Headache,Malaria
Cough,Shortness of Breath,Diarrhea,Rapid Heart Rate,Difficulty Swallowing,Runny Nose,Skin Peeling,Food Poisoning
Fever,Weakness,Cough,Runny Nose,Loss of Taste,Vomiting,Shortness of Breath,Scarlet Fever
Sweating,Loss of Taste,Sore Throat,Chest Pain,Headache,Skin Redness,Cough,Flu
Sore Throat,Ear Pain,Chest Pain,Loss of Appetite,Joint Pain,Sweating,High Blood Pressure,COVID-19
Swollen Lymph Nodes,Skin Redness,Chest Pain,Confusion,Loss of Appetite,Joint Pain,High Blood Pressure,Pneumonia
Rapid Heart Rate,Fatigue,Low Blood Pressure,Sweating,Loss of Appetite,Joint Pain,Difficulty Swallowing,Unknown
Swollen Lymph Nodes,Nausea,Sweating,Rash,Loss of Taste,Muscle Pain,High Blood Pressure,Hypertension
Diarrhea,Ear Pain,Loss of Taste,Rapid Heart Rate,Skin Redness,Chest Pain,Skin Peeling,Unknown
Loss of Smell,Shortness of Breath,Skin Peeling,Vomiting,Chest Pain,Dizziness,Weakness,Pneumonia
Fatigue,Fever,Blurred Vision,Nausea,Joint Pain,Low Blood Pressure,Skin Redness,Strep Throat
Chills,Fatigue,Ear Pain,Loss of Taste,Loss of Appetite,Weakness,Headache,Flu
Sweating,Cough,Skin Peeling,High Blood Pressure,Fever,Joint Pain,Diarrhea,Hypertension
Blurred Vision,Ear Pain,Muscle Pain,Confusion,Runny Nose,Sweating,Fatigue,Unknown
Ear Pain,Blurred Vision,Loss of Smell,Runny Nose,Confusion,Loss of Appetite,Skin Peeling,Scarlet Fever
Fever,Sweating,Skin Peeling,Swollen Lymph Nodes,Shortness of Breath,Rapid Heart Rate,Cough,Strep Throat
Vomiting,Nausea,Loss of Taste,Confusion,Difficulty Swallowing,Low Blood Pressure,Shortness of Breath,Food Poisoning
Vomiting,Chest Pain,Blurred Vision,Swollen Lymph Nodes,Confusion,Loss of Smell,Runny Nose,COVID-19
Rash,Cough,Runny Nose,Confusion,Fever,Skin Peeling,Headache,Ear Infection
Headache,Skin Peeling,Sweating,Cough,Ear Pain,Joint Pain,High Blood Pressure,Flu
Runny Nose,Weakness,Swollen Lymph Nodes,Skin Peeling,Chills,Chest Pain,Muscle Pain,Unknown
Dizziness,Weakness,Chills,Rapid Heart Rate,Diarrhea,Muscle Pain,Loss of Smell,Migraine
Rapid Heart Rate,Skin Peeling,Ear Pain,Nausea,Swollen Lymph Nodes,Abdominal Pain,Vomiting,Hypotension
Ear Pain,Rapid Heart Rate,Skin Peeling,Weakness,Loss of Taste,Fever,Vomiting,Strep Throat
Ear Pain,Loss of Smell,Blurred Vision,Muscle Pain,Skin Peeling,Nausea,Loss of Appetite,COVID-19
Chest Pain,Weakness,Sore Throat,Runny Nose,Sweating,Headache,Rash,Migraine
Chest Pain,Runny Nose,Cough,Difficulty Swallowing,Headache,Loss of Appetite,Rapid Heart Rate,Migraine
Headache,Runny Nose,Confusion,Vomiting,Rapid Heart Rate,Nausea,High Blood Pressure,Dengue
Chest Pain,Muscle Pain,Diarrhea,Skin Redness,Joint Pain,Fever,Ear Pain,Meningitis
Fever,Rapid Heart Rate,Fatigue,Weakness,Rash,Vomiting,Loss of Smell,Dengue
Shortness of Breath,Dizziness,Blurred Vision,Headache,Swollen Lymph Nodes,Nausea,Skin Peeling,Pneumonia
Loss of Smell,Fatigue,Low Blood Pressure,Loss of Taste,Chest Pain,Blurred Vision,Swollen Lymph Nodes,Food Poisoning
Dizziness,Nausea,Difficulty Swallowing,Muscle Pain,Swollen Lymph Nodes,Loss of Taste,High Blood Pressure,Unknown
Chills,Diarrhea,Sweating,Swollen Lymph Nodes,Difficulty Swallowing,Nausea,Skin Peeling,Unknown
Runny Nose,Nausea,Loss of Smell,Skin Peeling,Loss of Appetite,Weakness,Low Blood Pressure,Unknown
Skin Peeling,Chills,Muscle Pain,Fatigue,Runny Nose,Dizziness,Rash,Unknown
Diarrhea,Loss of Smell,Loss of Taste,Joint Pain,Shortness of Breath,Confusion,Nausea,Unknown
Diarrhea,Joint Pain,Rapid Heart Rate,Abdominal Pain,Loss of Appetite,Skin Redness,Shortness of Breath,Pneumonia
Chills,Muscle Pain,Dizziness,Loss of Appetite,Skin Peeling,Fever,Cough,Hypertension
Ear Pain,Muscle Pain,Loss of Smell,Sweating,Low Blood Pressure,Runny Nose,High Blood Pressure,Unknown
Fever,Ear Pain,Fatigue,Shortness of Breath,Skin Peeling,Dizziness,Headache,Dengue
Loss of Smell,Swollen Lymph Nodes,Skin Redness,Sweating,Nausea,Dizziness,Diarrhea,Hypotension
Diarrhea,Blurred Vision,Runny Nose,Vomiting,Sore Throat,Swollen Lymph Nodes,Loss of Appetite,Flu
Confusion,Diarrhea,Ear Pain,Low Blood Pressure,Difficulty Swallowing,Rapid Heart Rate,Nausea,Ear Infection
Loss of Taste,Headache,Cough,Joint Pain,Vomiting,High Blood Pressure,Low Blood Pressure,Dengue
Ear Pain,Low Blood Pressure,Cough,Skin Peeling,Joint Pain,Weakness,Vomiting,Food Poisoning
Sweating,Muscle Pain,Chest Pain,Loss of Taste,Vomiting,Runny Nose,Rapid Heart Rate,Unknown
Dizziness,Vomiting,Loss of Smell,Difficulty Swallowing,Fatigue,Nausea,Fever,Food Poisoning
Dizziness,Rash,Headache,Muscle Pain,Diarrhea,Loss of Taste,Ear Pain,Malaria
Loss of Taste,Skin Redness,Ear Pain,Fatigue,High Blood Pressure,Swollen Lymph Nodes,Blurred Vision,Unknown
Loss of Smell,Weakness,High Blood Pressure,Shortness of Breath,Swollen Lymph Nodes,Skin Peeling,Cough,Flu
Ear Pain,Headache,Muscle Pain,Fatigue,Fever,Weakness,Loss of Taste,Pneumonia
Chills,Fatigue,Headache,Nausea,Skin Redness,Swollen Lymph Nodes,Low Blood Pressure,Food Poisoning
Skin Peeling,Vomiting,Loss of Smell,Abdominal Pain,Difficulty Swallowing,Headache,Chills,Food Poisoning
Cough,Swollen Lymph Nodes,Nausea,Ear Pain,Rash,Chills,Headache,Pneumonia
Headache,Muscle Pain,Difficulty Swallowing,Runny Nose,Swollen Lymph Nodes,Rapid Heart Rate,Dizziness,Meningitis
Vomiting,Chills,Headache,Cough,Abdominal Pain,Rapid Heart Rate,Diarrhea,Dengue
Nausea,Fever,Sore Throat,High Blood Pressure,Chest Pain,Vomiting,Headache,Typhoid
Shortness of Breath,Sore Throat,Fever,Runny Nose,Blurred Vision,Confusion,Headache,Pneumonia
Sore Throat,Abdominal Pain,Confusion,Difficulty Swallowing,Weakness,Rapid Heart Rate,Skin Redness,Unknown
Muscle Pain,Ear Pain,Runny Nose,Rapid Heart Rate,Dizziness,Fatigue,Joint Pain,Ear Infection
Dizziness,Confusion,Muscle Pain,Swollen Lymph Nodes,Sweating,Loss of Appetite,Abdominal Pain,Unknown
Low Blood Pressure,Joint Pain,Loss of Smell,Loss of Taste,Fever,Shortness of Breath,Loss of Appetite,Typhoid
Joint Pain,Sweating,Sore Throat,Shortness of Breath,Skin Redness,Headache,Diarrhea,Dengue
Vomiting,Nausea,High Blood Pressure,Low Blood Pressure,Shortness of Breath,Muscle Pain,Weakness,Unknown
Fatigue,Headache,Skin Peeling,Rash,High Blood Pressure,Cough,Loss of Appetite,Flu
Skin Redness,High Blood Pressure,Blurred Vision,Low Blood Pressure,Rapid Heart Rate,Weakness,Runny Nose,Cold
Fatigue,Ear Pain,Weakness,Low Blood Pressure,Rash,Difficulty Swallowing,Runny Nose,Hypotension
Vomiting,Low Blood Pressure,Fatigue,Blurred Vision,Rash,Abdominal Pain,Loss of Smell,Unknown
Difficulty Swallowing,Loss of Smell,High Blood Pressure,Confusion,Rapid Heart Rate,Chest Pain,Joint Pain,Hypertension
Difficulty Swallowing,High Blood Pressure,Low Blood Pressure,Swollen Lymph Nodes,Skin Peeling,Shortness of Breath,Nausea,Migraine
Blurred Vision,Low Blood Pressure,Ear Pain,Sore Throat,Skin Redness,Chest Pain,Cough,Strep Throat
Vomiting,Loss of Smell,Rapid Heart Rate,Weakness,Nausea,Ear Pain,Sore Throat,Migraine
Sweating,Loss of Smell,Loss of Appetite,Fever,Ear Pain,Rapid Heart Rate,Cough,Malaria
Difficulty Swallowing,Sweating,Fever,Dizziness,Skin Redness,Chills,Runny Nose,Strep Throat
Cough,Rapid Heart Rate,Fatigue,Nausea,Joint Pain,Diarrhea,Sore Throat,Unknown
Confusion,Weakness,Runny Nose,Nausea,Ear Pain,Low Blood Pressure,Rash,Migraine
Fatigue,Sore Throat,Headache,Vomiting,Skin Peeling,Nausea,Loss of Appetite,Unknown
Chest Pain,Dizziness,Rapid Heart Rate,Skin Peeling,Sore Throat,Fatigue,Vomiting,Hypotension
Vomiting,Headache,Ear Pain,Diarrhea,Abdominal Pain,High Blood Pressure,Loss of Appetite,COVID-19
Confusion,Loss of Appetite,Low Blood Pressure,Rapid Heart Rate,Skin Redness,Sweating,Shortness of Breath,Meningitis
Vomiting,Sweating,Skin Redness,Sore Throat,Chills,Loss of Smell,Rash,Flu
Swollen Lymph Nodes,Skin Redness,Fatigue,Chest Pain,Cough,Rapid Heart Rate,Ear Pain,COVID-19
Chest Pain,Low Blood Pressure,Sore Throat,Sweating,Fatigue,Shortness of Breath,Headache,Hypertension
Vomiting,Fever,Chills,Skin Peeling,Ear Pain,Loss of Taste,Cough,Flu
Vomiting,Confusion,Fever,Joint Pain,Skin Redness,Muscle Pain,Low Blood Pressure,Ear Infection
Low Blood Pressure,Loss of Smell,Rapid Heart Rate,Loss of Appetite,Skin Peeling,Dizziness,Chest Pain,Unknown
Difficulty Swallowing,Weakness,Dizziness,Muscle Pain,Skin Peeling,Sweating,Cough,Dengue
Headache,Rash,Nausea,Low Blood Pressure,Skin Redness,Weakness,Dizziness,Dengue
Chest Pain,Weakness,Fatigue,Loss of Taste,Diarrhea,Cough,Low Blood Pressure,Typhoid
Muscle Pain,Confusion,Abdominal Pain,Loss of Smell,Fatigue,Chest Pain,Rash,Unknown
Skin Peeling,Dizziness,Sore Throat,Loss of Appetite,Rapid Heart Rate,Chills,Chest Pain,Unknown
Difficulty Swallowing,Diarrhea,Runny Nose,Loss of Appetite,Loss of Smell,Confusion,Joint Pain,Unknown
Shortness of Breath,Abdominal Pain,High Blood Pressure,Sore Throat,Swollen Lymph Nodes,Nausea,Runny Nose,Food Poisoning
Cough,High Blood Pressure,Loss of Appetite,Abdominal Pain,Loss of Smell,Chest Pain,Sweating,Unknown
Vomiting,Low Blood Pressure,Headache,Shortness of Breath,Sweating,Chills,Chest Pain,Dengue
Confusion,Rapid Heart Rate,Muscle Pain,Skin Redness,Chills,Abdominal Pain,Loss of Appetite,Malaria
Confusion,Chills,Dizziness,Loss of Taste,Swollen Lymph Nodes,Loss of Appetite,Weakness,Unknown
Blurred Vision,Shortness of Breath,Chills,Skin Redness,Rash,High Blood Pressure,Loss of Appetite,Unknown
Weakness,Dizziness,Diarrhea,Skin Redness,Chills,Abdominal Pain,Ear Pain,Typhoid
Chills,Joint Pain,Loss of Appetite,Headache,Diarrhea,Weakness,Ear Pain,Typhoid
Fatigue,Sweating,Headache,Weakness,Loss of Taste,Joint Pain,Loss of Appetite,Unknown
Loss of Appetite,Loss of Taste,Swollen Lymph Nodes,Fever,Skin Redness,Chest Pain,Diarrhea,Meningitis
Diarrhea,Weakness,Sweating,Abdominal Pain,Fever,Vomiting,Muscle Pain,Flu
Swollen Lymph Nodes,Fever,Rapid Heart Rate,Chest Pain,Loss of Appetite,Joint Pain,Dizziness,Malaria
Difficulty Swallowing,Abdominal Pain,Loss of Taste,Swollen Lymph Nodes,Diarrhea,Blurred Vision,Joint Pain,Strep Throat
Swollen Lymph Nodes,Weakness,Diarrhea,Loss of Appetite,Blurred Vision,Low Blood Pressure,Nausea,Unknown
Runny Nose,Blurred Vision,Abdominal Pain,Sweating,Loss of Taste,Difficulty Swallowing,Loss of Smell,Unknown
Chest Pain,Blurred Vision,Cough,Confusion,Loss of Smell,Loss of Taste,Runny Nose,Migraine
Sore Throat,Rash,Skin Peeling,Runny Nose,Shortness of Breath,Chest Pain,Sweating,Unknown
Loss of Taste,Shortness of Breath,Difficulty Swallowing,Ear Pain,Weakness,Fatigue,Low Blood Pressure,Cold
Fever,Confusion,Rapid Heart Rate,Chills,Runny Nose,Ear Pain,Skin Redness,Cold
Headache,Muscle Pain,Loss of Taste,Nausea,Vomiting,Runny Nose,Skin Peeling,Unknown
Rapid Heart Rate,Muscle Pain,Sweating,Cough,Joint Pain,Abdominal Pain,Difficulty Swallowing,Unknown
Shortness of Breath,Vomiting,Nausea,Chills,Blurred Vision,Dizziness,Skin Redness,Hypertension
Headache,Low Blood Pressure,Runny Nose,Loss of Appetite,Difficulty Swallowing,Sweating,Joint Pain,Malaria
Low Blood Pressure,Swollen Lymph Nodes,Rash,Skin Redness,Joint Pain,Sore Throat,Chest Pain,Flu
Ear Pain,Rash,Dizziness,Difficulty Swallowing,Sweating,Sore Throat,Skin Redness,Scarlet Fever
Skin Peeling,Confusion,Fever,Blurred Vision,Diarrhea,Low Blood Pressure,Shortness of Breath,Strep Throat
Low Blood Pressure,Sore Throat,Swollen Lymph Nodes,Skin Redness,Runny Nose,Chills,Loss of Smell,Unknown
Loss of Appetite,Shortness of Breath,Headache,High Blood Pressure,Fever,Confusion,Chest Pain,Unknown
Nausea,Rash,Runny Nose,Muscle Pain,Joint Pain,Loss of Taste,Skin Redness,Cold
Vomiting,Shortness of Breath,Fatigue,Chills,Rash,Sore Throat,Sweating,Flu
Weakness,Fever,Runny Nose,Muscle Pain,Chills,Sweating,Swollen Lymph Nodes,Scarlet Fever
Muscle Pain,Vomiting,Chills,Dizziness,Shortness of Breath,Loss of Appetite,Skin Peeling,Dengue
Swollen Lymph Nodes,Sweating,Headache,Skin Peeling,Chills,Abdominal Pain,Muscle Pain,Typhoid
Chest Pain,Ear Pain,Weakness,Diarrhea,Shortness of Breath,Blurred Vision,Vomiting,Malaria
Skin Redness,Fatigue,Nausea,Swollen Lymph Nodes,Fever,Vomiting,Rash,Food Poisoning
Swollen Lymph Nodes,Chills,Ear Pain,Difficulty Swallowing,Skin Redness,Sweating,Loss of Taste,COVID-19
Headache,Rash,Fatigue,Nausea,Difficulty Swallowing,Muscle Pain,Rapid Heart Rate,Ear Infection
Loss of Smell,High Blood Pressure,Rapid Heart Rate,Rash,Weakness,Fever,Dizziness,Unknown
Fatigue,Nausea,Dizziness,Headache,Cough,Abdominal Pain,Loss of Appetite,Hypotension
Nausea,Runny Nose,Cough,Diarrhea,Chills,Sweating,Muscle Pain,Unknown
Joint Pain,Fatigue,Chest Pain,Rapid Heart Rate,Sore Throat,Difficulty Swallowing,Confusion,Unknown
Dizziness,Skin Redness,Ear Pain,Runny Nose,Shortness of Breath,Chest Pain,High Blood Pressure,Pneumonia
Loss of Appetite,Loss of Taste,Vomiting,Swollen Lymph Nodes,Joint Pain,Blurred Vision,Nausea,Unknown
Skin Redness,Headache,Loss of Appetite,Loss of Smell,Nausea,Loss of Taste,Rash,Unknown
Fever,Skin Peeling,Sweating,Skin Redness,Loss of Appetite,Rapid Heart Rate,Sore Throat,Malaria
Fatigue,Chills,Skin Redness,Vomiting,Joint Pain,Sore Throat,Cough,Hypertension
Chest Pain,Blurred Vision,Difficulty Swallowing,Loss of Smell,Diarrhea,Cough,Sweating,Unknown
Swollen Lymph Nodes,Abdominal Pain,Cough,Loss of Taste,Joint Pain,Runny Nose,Fever,Scarlet Fever
Rapid Heart Rate,Ear Pain,Shortness of Breath,High Blood Pressure,Blurred Vision,Difficulty Swallowing,Dizziness,Unknown
Chest Pain,Runny Nose,Swollen Lymph Nodes,Vomiting,Joint Pain,Headache,Confusion,Strep Throat
Rash,Chills,Joint Pain,Runny Nose,Fatigue,Loss of Appetite,Chest Pain,Flu
Chest Pain,Sweating,Loss of Taste,Vomiting,Rash,Swollen Lymph Nodes,Diarrhea,Unknown
Headache,High Blood Pressure,Difficulty Swallowing,Cough,Shortness of Breath,Muscle Pain,Rapid Heart Rate,Strep Throat
Vomiting,Fatigue,High Blood Pressure,Nausea,Chest Pain,Blurred Vision,Cough,Hypertension
High Blood Pressure,Confusion,Fatigue,Sweating,Abdominal Pain,Low Blood Pressure,Fever,Dengue
Rash,Sweating,Swollen Lymph Nodes,Blurred Vision,Chest Pain,Cough,Ear Pain,Dengue
Chest Pain,Skin Peeling,Fatigue,Sweating,Ear Pain,Muscle Pain,Confusion,Scarlet Fever
Weakness,Loss of Appetite,Joint Pain,Fever,Chest Pain,Rash,Ear Pain,Unknown
Confusion,Swollen Lymph Nodes,Difficulty Swallowing,Chest Pain,Headache,Nausea,Rapid Heart Rate,Dengue
Sweating,Fever,Cough,Fatigue,Joint Pain,Ear Pain,Vomiting,COVID-19
Fever,Vomiting,Weakness,Runny Nose,Swollen Lymph Nodes,Skin Redness,Skin Peeling,Malaria
Difficulty Swallowing,Cough,Vomiting,Rash,Swollen Lymph Nodes,Muscle Pain,Blurred Vision,Unknown
Rash,Shortness of Breath,Joint Pain,Swollen Lymph Nodes,Low Blood Pressure,Muscle Pain,Nausea,Dengue
Loss of Smell,Loss of Appetite,Abdominal Pain,Fatigue,Blurred Vision,Diarrhea,High Blood Pressure,Unknown
Vomiting,Fever,Headache,Fatigue,Muscle Pain,Low Blood Pressure,Skin Redness,Typhoid
Chills,Diarrhea,Headache,Confusion,Skin Redness,Swollen Lymph Nodes,Muscle Pain,Hypertension
Skin Redness,Rash,Fever,Confusion,Chills,Loss of Smell,Loss of Appetite,Typhoid
Sore Throat,Loss of Taste,Fever,Abdominal Pain,Skin Redness,Chest Pain,Loss of Appetite,Malaria
Loss of Smell,Blurred Vision,Joint Pain,Rash,High Blood Pressure,Vomiting,Sore Throat,Unknown
Weakness,Rapid Heart Rate,Fever,Sore Throat,Rash,Muscle Pain,Joint Pain,Typhoid
Abdominal Pain,Fever,High Blood Pressure,Joint Pain,Runny Nose,Nausea,Rapid Heart Rate,Food Poisoning
Nausea,Confusion,Diarrhea,Dizziness,Shortness of Breath,Loss of Taste,Difficulty Swallowing,Unknown
Diarrhea,Low Blood Pressure,Ear Pain,Swollen Lymph Nodes,Fatigue,Nausea,Shortness of Breath,Typhoid
Loss of Taste,Difficulty Swallowing,Nausea,Shortness of Breath,Sweating,Skin Peeling,Dizziness,Migraine
Loss of Appetite,Confusion,Vomiting,Ear Pain,High Blood Pressure,Cough,Fever,Unknown
Skin Redness,Sweating,Cough,Shortness of Breath,Loss of Taste,Chills,Sore Throat,Unknown
Difficulty Swallowing,Fatigue,Loss of Appetite,Sore Throat,Runny Nose,Weakness,Ear Pain,Typhoid
Ear Pain,Loss of Smell,Runny Nose,Skin Redness,Confusion,Difficulty Swallowing,Shortness of Breath,Unknown
Headache,Loss of Smell,Rapid Heart Rate,High Blood Pressure,Blurred Vision,Dizziness,Sore Throat,Meningitis
Dizziness,Abdominal Pain,Loss of Taste,Nausea,Cough,Skin Redness,Rash,Typhoid
Chills,Weakness,High Blood Pressure,Muscle Pain,Swollen Lymph Nodes,Joint Pain,Nausea,Unknown
Skin Redness,Blurred Vision,Rapid Heart Rate,Chest Pain,High Blood Pressure,Shortness of Breath,Nausea,Scarlet Fever
Weakness,Loss of Appetite,Low Blood Pressure,Diarrhea,Loss of Smell,Nausea,Shortness of Breath,Pneumonia
Abdominal Pain,Joint Pain,Runny Nose,High Blood Pressure,Sweating,Headache,Shortness of Breath,Malaria
Runny Nose,Loss of Smell,Rash,Cough,Blurred Vision,Shortness of Breath,Diarrhea,Pneumonia
Diarrhea,Shortness of Breath,Loss of Taste,Runny Nose,High Blood Pressure,Muscle Pain,Loss of Smell,Dengue
Loss of Smell,Cough,Muscle Pain,Sweating,Fever,Skin Peeling,Weakness,Unknown
Nausea,High Blood Pressure,Sweating,Loss of Smell,Loss of Appetite,Skin Redness,Sore Throat,Malaria
Abdominal Pain,Difficulty Swallowing,Low Blood Pressure,Loss of Appetite,Rapid Heart Rate,Rash,Fatigue,Unknown
Weakness,Abdominal Pain,Dizziness,Low Blood Pressure,Fever,Nausea,Blurred Vision,Food Poisoning
Low Blood Pressure,Chills,Dizziness,Swollen Lymph Nodes,Skin Peeling,Nausea,Cough,Hypotension
Swollen Lymph Nodes,Cough,Weakness,Chest Pain,Headache,Diarrhea,Low Blood Pressure,Pneumonia
Weakness,Rash,Chills,Muscle Pain,Nausea,Swollen Lymph Nodes,Skin Redness,Hypotension
Loss of Appetite,Sweating,Sore Throat,Cough,Difficulty Swallowing,Abdominal Pain,Headache,Meningitis
Loss of Smell,Loss of Taste,Ear Pain,Fatigue,Weakness,Fever,Skin Redness,Typhoid
Abdominal Pain,Rapid Heart Rate,Cough,Loss of Smell,Vomiting,Joint Pain,Loss of Appetite,Hypotension
Loss of Smell,Fatigue,Rash,Low Blood Pressure,Dizziness,Diarrhea,Abdominal Pain,Typhoid
Low Blood Pressure,Vomiting,Weakness,Skin Redness,Rash,Diarrhea,High Blood Pressure,Unknown
Rapid Heart Rate,Sweating,Runny Nose,Fever,Chest Pain,Ear Pain,Dizziness,Malaria
Dizziness,Joint Pain,Headache,Diarrhea,Confusion,Blurred Vision,Sore Throat,Strep Throat
Headache,Cough,Loss of Smell,Blurred Vision,Skin Redness,Loss of Taste,Difficulty Swallowing,Scarlet Fever
Diarrhea,Nausea,Headache,Loss of Smell,High Blood Pressure,Ear Pain,Chest Pain,Hypertension
Skin Peeling,High Blood Pressure,Shortness of Breath,Difficulty Swallowing,Rash,Sweating,Abdominal Pain,Unknown
Swollen Lymph Nodes,Confusion,Rapid Heart Rate,Loss of Smell,Rash,Runny Nose,Abdominal Pain,Unknown
Fever,Runny Nose,Headache,Difficulty Swallowing,Muscle Pain,Loss of Appetite,Rapid Heart Rate,Strep Throat
Cough,Skin Redness,Shortness of Breath,Loss of Taste,Nausea,Runny Nose,Low Blood Pressure,COVID-19
Joint Pain,Cough,Difficulty Swallowing,Loss of Smell,Sweating,Skin Redness,Muscle Pain,Unknown
Cough,High Blood Pressure,Fatigue,Vomiting,Chills,Abdominal Pain,Joint Pain,Unknown
Loss of Smell,Weakness,Loss of Taste,Cough,High Blood Pressure,Chest Pain,Sweating,Hypertension
Headache,Chills,Rapid Heart Rate,Swollen Lymph Nodes,Chest Pain,Runny Nose,Sweating,Hypertension
